City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
272,Brae,GB,60.3964,-1.353,52.45,92,100,14.83,light rain
273,Fortuna,US,40.5982,-124.1573,70.09,71,19,5.01,few clouds
274,San Cristobal,VE,7.7669,-72.225,77.18,68,11,2.39,few clouds
275,Mokhsogollokh,RU,61.4681,128.9203,74.01,55,24,3.33,few clouds
276,Mehamn,NO,71.0357,27.8492,51.71,93,100,21.85,drizzle rain
277,Awjilah,LY,29.1081,21.2869,78.3,66,0,11.39,clear sky
278,Camocim,BR,-2.9022,-40.8411,79.05,75,66,14.12,broken clouds
279,Yuzhnyy,RU,53.2542,83.6936,57.58,94,75,6.71,thunderstorm with light rain
280,Namie,JP,37.4833,141.0,80.71,72,95,4.23,overcast clouds
281,Axim,GH,4.8699,-2.2405,74.79,82,52,6.55,broken clouds
282,Baykalsk,RU,51.5058,104.1469,55.81,86,92,4.12,overcast clouds
283,Tarnow,PL,50.0138,20.987,63.09,96,92,5.19,overcast clouds
284,Ugoofaaru,MV,5.6667,73.0,81.19,79,79,13.96,broken clouds
285,Raudeberg,NO,61.9875,5.1352,56.07,84,100,2.91,overcast clouds
286,Pyaozerskiy,RU,65.8333,31.1667,55.83,75,65,6.85,broken clouds
287,Hamilton,US,39.1834,-84.5333,88.65,59,0,4.61,clear sky
288,Bowen,AU,-20.0167,148.2333,64.51,80,3,7.47,clear sky
289,Jibuti,DJ,11.5,42.5,88.74,39,50,3.83,light rain
290,Kiomboi,TZ,-4.2667,34.3667,58.17,67,6,8.14,clear sky
291,Abu Dhabi,AE,24.4667,54.3667,95.11,64,0,1.14,clear sky
292,Mahajanga,MG,-15.7167,46.3167,66.22,77,20,3.44,few clouds
293,Cap Malheureux,MU,-19.9842,57.6142,69.48,72,23,5.01,few clouds
294,Roald,NO,62.5833,6.1333,60.17,94,100,5.75,overcast clouds
295,Kulhudhuffushi,MV,6.6221,73.07,81.36,75,76,15.28,broken clouds
296,Vardo,NO,70.3705,31.1107,49.98,93,75,5.75,broken clouds
297,Broken Hill,AU,-31.95,141.4333,60.39,62,2,13.06,clear sky
298,Clyde River,CA,70.4692,-68.5914,55.63,67,0,6.91,clear sky
299,Daniel Flores,CR,9.3355,-83.6694,71.64,95,99,0.74,overcast clouds
300,Bom Jardim,BR,-7.7958,-35.5872,66.9,97,89,5.73,overcast clouds
301,Male,MV,4.1748,73.5089,82.35,83,75,8.05,broken clouds
302,Tasiilaq,GL,65.6145,-37.6368,37.56,86,100,8.99,overcast clouds
303,Deputatskiy,RU,69.3,139.9,55.87,57,39,9.26,scattered clouds
304,Upington,ZA,-28.4478,21.2561,44.98,70,0,4.61,clear sky
305,Kahului,US,20.8947,-156.47,79.5,68,8,12.57,clear sky
